Name,MS,BNS,MGF,LM
GRB130523198,8.296e-01,1.689e-01,1.517e-03,6.470e-08
GRB130527627,9.363e-01,6.317e-02,4.872e-04,4.624e-10
GRB130528503,8.029e-01,1.948e-01,2.354e-03,5.750e-09
GRB130528695,9.235e-01,7.611e-02,4.337e-04,4.631e-10
GRB130530719,9.355e-01,6.405e-02,4.340e-04,3.599e-10
GRB130604033,3.550e-01,6.427e-01,2.225e-03,3.812e-12
GRB130606316,9.374e-01,6.219e-02,4.380e-04,3.496e-10
GRB130606497,8.303e-01,1.697e-01,7.449e-09,4.233e-13
GRB130609129,7.530e-01,2.427e-01,4.295e-03,3.865e-09
GRB130609902,9.999e-01,1.551e-06,1.372e-04,1.700e-14
GRB130610133,9.561e-01,4.342e-02,4.397e-04,1.570e-10
GRB130611538,9.094e-01,8.989e-02,6.731e-04,4.534e-10
GRB130612141,7.759e-01,2.211e-01,3.031e-03,4.280e-09
GRB130612456,9.855e-01,4.747e-07,1.963e-09,1.445e-02
GRB130614997,9.999e-01,9.613e-05,3.463e-07,1.497e-08
GRB130615398,8.093e-01,1.885e-01,2.213e-03,2.981e-09
GRB130617564,2.793e-01,6.978e-01,2.293e-02,3.379e-10
GRB130620498,7.780e-01,2.194e-01,2.580e-03,8.588e-09
GRB130622615,1.267e-01,7.304e-01,1.430e-01,8.049e-11
GRB130623130,2.694e-01,7.303e-01,2.784e-04,6.466e-11
GRB130623396,8.623e-01,1.365e-01,1.135e-03,8.850e-10
GRB130623488,8.628e-01,1.368e-01,4.239e-04,7.555e-11
GRB130623699,8.178e-01,1.804e-01,1.850e-03,1.585e-09
GRB130623790,1.000e+00,4.173e-05,1.680e-06,1.366e-14
GRB130624093,8.164e-01,1.814e-01,2.209e-03,2.986e-09
GRB130626452,2.473e-01,6.381e-01,1.146e-01,2.755e-10
GRB130626596,8.590e-01,1.399e-01,1.123e-03,1.240e-09
GRB130627372,6.497e-01,3.481e-01,2.199e-03,6.549e-10
GRB130628531,9.765e-01,2.339e-02,1.472e-04,6.654e-10
GRB130628860,3.991e-05,9.968e-01,3.194e-03,1.613e-14
GRB130630272,9.878e-01,1.213e-02,8.281e-05,1.541e-10
GRB130701060,9.934e-01,6.562e-03,4.213e-05,3.473e-11
GRB130701761,9.996e-01,3.902e-04,5.430e-07,8.309e-14
GRB130702004,1.000e+00,0.000e+00,0.000e+00,0.000e+00
GRB130702951,7.913e-01,2.060e-01,2.698e-03,2.784e-09
GRB130704560,8.105e-01,1.067e-06,5.083e-09,1.895e-01
GRB130705398,1.991e-01,5.907e-01,2.102e-01,2.211e-10
GRB130706900,9.479e-02,5.316e-01,3.736e-01,1.142e-10
GRB130707505,6.424e-01,3.576e-01,2.698e-06,1.320e-13
GRB130708488,8.016e-01,1.960e-01,2.393e-03,9.088e-09
GRB130715906,4.415e-01,5.585e-01,2.401e-05,3.040e-10
